20260714-2023-nipalan/6_band0.png	Nipalan
20260714-2023-nipalan/6_band1.png	Weapon Damage 38
20260714-2023-nipalan/6_band2.png	Move Speed -50
20260714-2023-nipalan/6_band3.png	Armor Penetration 15%
20260714-2023-nipalan/6_band4.png	+2.4% Magical Damage Reduction
20260714-2023-nipalan/6_band5.png	+2.9% Magic Penetration
20260714-2023-nipalan/6_band6.png	+2% Projectile Damage Reduction
20260714-2023-nipalan/6_band7.png	+5.6% Demon Damage Bonus
20260714-2023-nipalan/6_band8.png	+1 Magical Healing
20260714-2023-nipalan/6_band9.png	Gain 3 weapon damage and push the hit
20260714-2023-nipalan/6_band10.png	target back.
20260714-2023-nipalan/6_band11.png	Required Class:
20260714-2023-nipalan/6_band12.png	Ranger
20260714-2023-nipalan/6_band13.png	Slot Type: Primary Weapon
20260714-2023-nipalan/6_band14.png	Hand Type: Two-Handed
20260714-2023-nipalan/6_band15.png	Weapon Type: Bow
20260714-2023-nipalan/6_band16.png	Loot State: Looted
20260714-2023-nipalan/6_band17.png	Rarity: Artifact
20260714-2023-nipalan/6_band18.png	A bow crafted by a legendary tribe of
20260714-2023-nipalan/6_band19.png	warriors known as the Penobscots. So
20260714-2023-nipalan/6_band20.png	terrifyingly strong it knocks back their
20260714-2023-nipalan/6_band21.png	foes.
