20260715-1334-fulgor/2_input0.png	Fulgor
20260715-1334-fulgor/2_input1.png	Weapon Damage 44
20260715-1334-fulgor/2_input2.png	Move Speed -30
20260715-1334-fulgor/2_input3.png	+1.7% Magical Damage Bonus
20260715-1334-fulgor/2_input4.png	+2.7% Action Speed
20260715-1334-fulgor/2_input5.png	+2 Additional Weapon Damage
20260715-1334-fulgor/2_input6.png	+1.5% Magical Damage Reduction
20260715-1334-fulgor/2_input7.png	+5.2% Undead Damage Reduction
20260715-1334-fulgor/2_input8.png	Gain 10% action speed. When you hit an
20260715-1334-fulgor/2_input9.png	enemy, cause a thunderbolt dealing
20260715-1334-fulgor/2_input10.png	20 (1.0) magical damage.
20260715-1334-fulgor/2_input11.png	Required Class:
20260715-1334-fulgor/2_input12.png	Fighter, Warlock, Sorcerer
20260715-1334-fulgor/2_input13.png	Slot Type: Primary Weapon
20260715-1334-fulgor/2_input14.png	Hand Type: Two-Handed
20260715-1334-fulgor/2_input15.png	Weapon Type: Sword
20260715-1334-fulgor/2_input16.png	Loot State: Handled
20260715-1334-fulgor/2_input17.png	Rarity: Artifact
20260715-1334-fulgor/2_input18.png	Long ago, a King was gifted this artifact
20260715-1334-fulgor/2_input19.png	by someone who valued his sense of
20260715-1334-fulgor/2_band20.png	dream, justice, love and kindness, hoping
20260715-1334-fulgor/2_band21.png	to help him carve these principles into the
20260715-1334-fulgor/2_input22.png	world.
20260715-1334-fulgor/2_input23.png	"Found by druidnerf46"
