20260713-1848/9_band0.png	Short Sword
20260713-1848/9_band1.png	Weapon Damage 28
20260713-1848/9_band2.png	Move Speed -15
20260713-1848/9_band3.png	+17 Luck [15 ~ 30]
20260713-1848/9_band4.png	+12 Magic Resistance [7 ~ 15]
20260713-1848/9_band5.png	+3 Additional Memory Capacity [2 ~ 5]
20260713-1848/9_band6.png	+1.2% Action Speed [1% ~ 2%]
20260713-1848/9_band7.png	Required Class:
20260713-1848/9_band8.png	Fighter, Rogue, Ranger, Bard
20260713-1848/9_band9.png	Slot Type: Secondary Weapon
20260713-1848/9_band10.png	Hand Type: One-Handed
20260713-1848/9_band11.png	Weapon Type: Sword
20260713-1848/9_band12.png	Loot State: Looted
20260713-1848/9_band13.png	Rarity: Legendary
20260713-1848/9_band14.png	A short and broad blade melded to a fine
20260713-1848/9_band15.png	point with a round pommel at its base.
20260713-1848/9_band16.png	"Found by RoterDruide"
